state_simple,pool,pool.date,test,gpt_id,date,geo3,state_electoral.college,region,turnout2020.bgres,speculation...turnout2020.bgres,turnout2020.bgnores,speculation...turnout2020.bgnores,turnout2020.ind,speculation...turnout2020.ind,turnout2020.demo,speculation...turnout2020.demo,turnout2020.quota,speculation...turnout2020.quota,vote2020.bgres,speculation...vote2020.bgres,vote2020.bgnores,speculation...vote2020.bgnores,vote2020.ind,speculation...vote2020.ind,vote2020.demo,speculation...vote2020.demo,vote2020.quota,speculation...vote2020.quota,turnout2022.bgres,speculation...turnout2022.bgres,turnout2022.bgnores,speculation...turnout2022.bgnores,turnout2022.ind,speculation...turnout2022.ind,turnout2022.demo,speculation...turnout2022.demo,turnout2022.quota,speculation...turnout2022.quota,vote2022.bgres,speculation...vote2022.bgres,vote2022.bgnores,speculation...vote2022.bgnores,vote2022.ind,speculation...vote2022.ind,vote2022.demo,speculation...vote2022.demo,vote2022.quota,speculation...vote2022.quota,turnout2024.bgnores,speculation...turnout2024.bgnores,turnout2024.ind,speculation...turnout2024.ind,vote2024.bgnores,speculation...vote2024.bgnores,vote2024.ind,speculation...vote2024.ind,turnout2024.demo,speculation...turnout2024.demo,vote2024.demo,speculation...vote2024.demo,change_mind.2024.demo,speculation...change_mind.2024.demo,moi,speculation...moi,psych.agreeable,speculation...psych.agreeable,psych.conscientious,speculation...psych.conscientious,psych.extraverted,speculation...psych.extraverted,psych.neurotic,speculation...psych.neurotic,psych.open,speculation...psych.open,psych.happy,speculation...psych.happy,ethnicity,speculation...ethnicity,age_bins,speculation...age_bins,gender,speculation...gender,college_grad,speculation...college_grad,hh_income,speculation...hh_income,marital_status,speculation...marital_status,pol_interest,speculation...pol_interest,trust,speculation...trust,attention,speculation...attention,partisanship,speculation...partisanship,ideology,speculation...ideology,job_approval.Biden,speculation...job_approval.Biden,fav_harris,speculation...fav_harris,fav_walz,speculation...fav_walz,fav_biden,speculation...fav_biden,fav_trump,speculation...fav_trump,fav_jdvance,speculation...fav_jdvance,fav_kennedy,speculation...fav_kennedy,fav_oliver,speculation...fav_oliver,fav_stein,speculation...fav_stein,fav_west,speculation...fav_west,vote2020,speculation...vote2020,vote2022,speculation...vote2022,vote2024,speculation...vote2024
Alabama,trends Cam Williams,2024-09-07 20:14:30,no,7aa2735518580cd283558705b89ee6adf57a8d621a7c876ad5d41d48463cd0bd,2024-09-08,Alabama 7th,Alabama,South,0.5,60,0.7,60,0.85,60,0.5,60,0.7,60,stay home,85,R,70,stay home,90,stay home,75,stay home,80,0.3,60,0.3,60,0.85,70,0.5,60,0.7,60,stay home,70,stay home,30,R,80,stay home,75,stay home,80,0.7,50,0.85,40,R,75,R,90,0.3,75,stay home,75,1.no chance,70,jobs and the economy,70,3.neither agreeable nor disagreeable,60,3.neither conscientious nor unconscientious,60,4.somewhat extraverted,50,3.neither high nor low in neuroticism,60,3.neither open nor closed to experience,60,3.rather happy,60,White,10,3.35-44,50,M,10,Has a College Degree,60,"5.[100000, max]",70,single,90,1.not interested at all,25,3.about half of the time trust other people,80,1.not paying attention at all,25,4.ind,70,3.moderate in ideological orientation,70,,90,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,stay home,80,stay home,67,R,80
Alabama,trends Haynes King,2024-09-07 20:04:27,no,3ac36712ef878e3e423e0dd712dfa6ebd6daf336bd705cb829029b690f77579f,2024-09-08,Alabama 6th,Alabama,South,0.3,50,0.7,60,0.7,60,0.7,60,0.5,60,R,60,R,70,stay home,100,stay home,80,stay home,80,0.7,50,0.85,50,0.3,60,0.5,60,0.7,60,R,60,R,70,stay home,80,stay home,80,R,70,0.5,60,0.5,60,stay home,100,stay home,90,0.5,80,stay home,80,4.50-50,80,jobs and the economy,80,4.somewhat agreeable,30,4.somewhat conscientious,40,4.somewhat extraverted,30,2.somewhat low in neuroticism,50,4.somewhat open to experience,40,3.rather happy,50,White,90,2.25-34,30,M,10,Has a College Degree,50,"5.[100000, max]",70,single,80,2.slightly interested,40,3.about half of the time trust other people,80,2.paying only a little attention,50,4.ind,70,3.moderate in ideological orientation,70,,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,78,R,72,stay home,90
Alabama,trends Isaiah Bond,2024-09-07 20:14:05,no,a08c693444714de0b697b09acfb1007753b80a24beda31641c7a89751b01bdb9,2024-09-08,Alabama 6th,Alabama,South,0.7,50,0.85,30,0.85,40,0.5,50,0.7,50,R,60,R,50,R,50,stay home,60,R,70,0.3,60,0.85,40,0.7,55,0.5,50,0.7,50,R,70,R,60,R,70,stay home,60,R,70,0.85,40,0.7,50,R,60,R,70,0.15,50,stay home,50,1.no chance,50,inflation and the cost of living,70,5.very agreeable,30,2.somewhat unconscientious,40,5.very extraverted,30,4.somewhat high in neuroticism,40,2.somewhat closed to experience,50,3.rather happy,40,White,70,2.25-34,40,F,10,Does not have a College Degree,90,"2.[25000, 50000)",80,single,50,1.not interested at all,20,3.about half of the time trust other people,60,1.not paying attention at all,20,4.ind,50,3.moderate in ideological orientation,50,,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,R,58,R,66,R,60
Alabama,trends Isaiah Bond,2024-09-07 20:14:05,no,b04c8219b53766bc110fd22cd4f514b8392e68ee538d28413e719a94fdc73b52,2024-09-08,Alabama 5th,Alabama,South,0.85,35,0.5,60,0.3,60,0,90,0,90,R,55,R,70,stay home,70,stay home,90,stay home,90,0.3,60,0.3,60,0.3,60,0,90,0,90,stay home,80,stay home,70,stay home,80,stay home,90,stay home,90,0.5,60,0.5,60,R,70,stay home,80,0.3,80,stay home,80,4.50-50,70,inflation and the cost of living,70,2.somewhat disagreeable,60,2.somewhat unconscientious,60,5.very extraverted,50,4.somewhat high in neuroticism,60,4.somewhat open to experience,60,3.rather happy,60,White,90,1.18-24,40,M,20,Does not have a College Degree,70,"1.[min, 25000)",80,single,50,1.not interested at all,60,2.some of the time trust other people,80,1.not paying attention at all,70,4.ind,80,3.moderate in ideological orientation,80,,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,75,stay home,82,stay home,76.6666666666667
Alabama,trends Lee Corso,2024-09-07 20:05:26,no,56f567c8bf9f1b9e6c31b4b7e4ea5606cbd0af827cb1b53923428a56127b13ce,2024-09-07,Alabama 1st,Alabama,South,0.85,30,0.85,20,0.85,40,1,30,0.85,30,R,60,stay home,60,D,60,R,40,R,60,0.7,50,0.85,30,0.85,30,1,30,0.85,30,R,70,R,50,R,50,R,50,R,50,0.85,30,1,10,L,60,K,60,0.85,40,R,40,2.highly unlikely,30,jobs and the economy,40,3.neither agreeable nor disagreeable,50,5.very conscientious,30,4.somewhat extraverted,40,3.neither high nor low in neuroticism,50,4.somewhat open to experience,40,3.rather happy,70,White,60,2.25-34,30,M,20,Has a College Degree,10,"5.[100000, max]",40,single,80,4.highly interested,10,3.about half of the time trust other people,60,4.paying a lot of attention,20,7.strong R,40,5.very ideologically conservative,40,1.Strongly Disapproves,30,1.Very unfavourable,40,1.Very unfavourable,60,1.Very unfavourable,30,3.Somewhat favourable,40,3.Somewhat favourable,50,1.Very unfavourable,60,1.Very unfavourable,60,1.Very unfavourable,60,1.Very unfavourable,50,R,56,R,54,L,53.3333333333333
Alabama,trends Petrino,2024-09-07 20:06:45,no,ab39b5eef3f5e12369beeaccddc97fa26bade757e8ed6e1cd79fd18dddca2057,2024-09-08,Alabama 6th,Alabama,South,0.7,40,0.85,30,0.85,30,0.85,30,0.85,30,R,50,R,40,R,40,R,40,R,45,0.85,40,0.85,30,0.7,60,0.85,30,0.85,30,R,50,R,40,R,50,R,40,R,45,0.85,20,0.85,30,R,30,R,40,0.85,40,R,40,2.highly unlikely,30,inflation and the cost of living,70,2.somewhat disagreeable,50,3.neither conscientious nor unconscientious,80,5.very extraverted,40,3.neither high nor low in neuroticism,80,2.somewhat closed to experience,50,2.not very happy,80,White,80,6.65+,20,M,10,Does not have a College Degree,70,"2.[25000, 50000)",70,single,60,4.highly interested,20,2.some of the time trust other people,50,4.paying a lot of attention,20,7.strong R,30,5.very ideologically conservative,30,1.Strongly Disapproves,30,1.Very unfavourable,30,No opinion,70,1.Very unfavourable,30,4.Very favourable,40,No opinion,70,No opinion,70,No opinion,70,No opinion,70,No opinion,70,R,43,R,45,R,36.6666666666667
Alabama,trends Sleep Apnea,2024-09-09 21:43:18,no,1c15b1a59c7e10b045221c24b45d85e9f199659bb52822b4a43ea9833a47bdd9,2024-09-09,Alabama 3rd,Alabama,South,0.85,30,0.85,20,1,10,1,20,0.85,20,D,20,D,20,D,15,D,20,D,25,0.85,20,0.85,20,1,20,0.85,30,0.85,30,D,30,D,25,D,30,D,20,D,25,0.85,20,1,10,D,30,D,20,1,30,D,30,2.highly unlikely,30,civil rights and racism,40,3.neither agreeable nor disagreeable,50,4.somewhat conscientious,30,4.somewhat extraverted,30,3.neither high nor low in neuroticism,50,5.very open to experience,40,3.rather happy,40,White,80,6.65+,10,M,10,Has a College Degree,30,"3.[50000, 75000)",60,single,90,4.highly interested,10,3.about half of the time trust other people,50,4.paying a lot of attention,10,1.strong D,10,1.very ideologically liberal,20,3.Somewhat Approves,30,4.Very favourable,30,No opinion,80,3.Somewhat favourable,20,1.Very unfavourable,10,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,D,20,D,26,D,26.6666666666667
Alabama,trends Taco Tuesday,2024-09-10 20:06:58,no,65de6c9d3d9f4a9696e3be08ff92b4438c37c83f25986057abf68156ddae844b,2024-09-10,Alabama 3rd,Alabama,South,0.5,60,0.5,60,0.7,60,0.3,80,0.5,80,stay home,90,stay home,80,stay home,90,stay home,90,stay home,85,0,20,0.5,60,0.5,70,0.3,80,0.5,80,stay home,20,stay home,70,stay home,80,stay home,90,stay home,85,0.7,50,0.7,60,stay home,85,stay home,85,0.3,85,stay home,85,4.50-50,70,jobs and the economy,30,4.somewhat agreeable,40,4.somewhat conscientious,40,5.very extraverted,40,2.somewhat low in neuroticism,50,4.somewhat open to experience,50,3.rather happy,50,Black,20,3.35-44,40,F,10,Does not have a College Degree,60,"1.[min, 25000)",35,married,20,1.not interested at all,30,4.most of the time trust other people,40,1.not paying attention at all,50,4.ind,70,3.moderate in ideological orientation,65,2.Somewhat Disapproves,85,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,87,stay home,69,stay home,85
Alabama,candidates,2024-09-07 20:04:20,no,e79bcc12d5cdaf5dcfee466a33e2c4a3beb67b5aa5cb4a3ee4d1411f76ef71df,2024-09-09,Alabama 2nd,Alabama,South,0.85,20,0.85,20,0.85,20,0.85,20,1,20,R,20,R,10,R,20,R,25,R,40,0.85,20,0.85,20,0.85,30,0.85,20,1,20,R,30,R,20,R,20,R,25,R,50,1,20,1,0,R,10,R,20,0.85,25,R,25,2.highly unlikely,30,immigration,30,2.somewhat disagreeable,40,4.somewhat conscientious,40,4.somewhat extraverted,30,3.neither high nor low in neuroticism,50,2.somewhat closed to experience,30,3.rather happy,80,White,45,6.65+,20,M,10,Has a College Degree,10,"4.[75000, 100000)",40,married,0,4.highly interested,10,2.some of the time trust other people,30,4.paying a lot of attention,15,7.strong R,15,5.very ideologically conservative,15,1.Strongly Disapproves,20,1.Very unfavourable,10,1.Very unfavourable,20,1.Very unfavourable,20,4.Very favourable,20,No opinion,90,1.Very unfavourable,40,No opinion,90,No opinion,90,No opinion,90,R,23,R,29,R,18.3333333333333
Alabama,candidates,2024-09-09 21:41:43,no,23672bbfa2d7da71e15e84b3d28c988f3599eeecd58ae47a336b2a03a7d5b2ec,2024-09-10,Alabama 4th,Alabama,South,0.85,25,0.85,20,0.85,20,1,20,1,20,R,35,R,30,R,30,R,30,R,30,0.85,40,0.85,25,0.85,30,1,20,0.85,20,R,50,R,60,R,40,R,40,R,30,0.85,20,1,20,R,30,R,30,1,20,R,20,2.highly unlikely,30,immigration,30,2.somewhat disagreeable,40,5.very conscientious,40,4.somewhat extraverted,40,4.somewhat high in neuroticism,40,2.somewhat closed to experience,40,3.rather happy,80,White,90,6.65+,20,M,10,Has a College Degree,20,"3.[50000, 75000)",80,married,90,4.highly interested,10,2.some of the time trust other people,40,4.paying a lot of attention,10,7.strong R,20,5.very ideologically conservative,20,1.Strongly Disapproves,20,1.Very unfavourable,20,No opinion,90,1.Very unfavourable,20,4.Very favourable,20,No opinion,90,No opinion,90,No opinion,90,No opinion,90,1.Very unfavourable,50,R,31,R,44,R,26.6666666666667
