state_simple,pool,pool.date,test,gpt_id,date,geo3,state_electoral.college,region,turnout2020.bgres,speculation...turnout2020.bgres,turnout2020.bgnores,speculation...turnout2020.bgnores,turnout2020.ind,speculation...turnout2020.ind,turnout2020.demo,speculation...turnout2020.demo,turnout2020.quota,speculation...turnout2020.quota,vote2020.bgres,speculation...vote2020.bgres,vote2020.bgnores,speculation...vote2020.bgnores,vote2020.ind,speculation...vote2020.ind,vote2020.demo,speculation...vote2020.demo,vote2020.quota,speculation...vote2020.quota,turnout2022.bgres,speculation...turnout2022.bgres,turnout2022.bgnores,speculation...turnout2022.bgnores,turnout2022.ind,speculation...turnout2022.ind,turnout2022.demo,speculation...turnout2022.demo,turnout2022.quota,speculation...turnout2022.quota,vote2022.bgres,speculation...vote2022.bgres,vote2022.bgnores,speculation...vote2022.bgnores,vote2022.ind,speculation...vote2022.ind,vote2022.demo,speculation...vote2022.demo,vote2022.quota,speculation...vote2022.quota,turnout2024.bgnores,speculation...turnout2024.bgnores,turnout2024.ind,speculation...turnout2024.ind,vote2024.bgnores,speculation...vote2024.bgnores,vote2024.ind,speculation...vote2024.ind,turnout2024.demo,speculation...turnout2024.demo,vote2024.demo,speculation...vote2024.demo,change_mind.2024.demo,speculation...change_mind.2024.demo,moi,speculation...moi,psych.agreeable,speculation...psych.agreeable,psych.conscientious,speculation...psych.conscientious,psych.extraverted,speculation...psych.extraverted,psych.neurotic,speculation...psych.neurotic,psych.open,speculation...psych.open,psych.happy,speculation...psych.happy,ethnicity,speculation...ethnicity,age_bins,speculation...age_bins,gender,speculation...gender,college_grad,speculation...college_grad,hh_income,speculation...hh_income,marital_status,speculation...marital_status,pol_interest,speculation...pol_interest,trust,speculation...trust,attention,speculation...attention,partisanship,speculation...partisanship,ideology,speculation...ideology,job_approval.Biden,speculation...job_approval.Biden,fav_harris,speculation...fav_harris,fav_walz,speculation...fav_walz,fav_biden,speculation...fav_biden,fav_trump,speculation...fav_trump,fav_jdvance,speculation...fav_jdvance,fav_kennedy,speculation...fav_kennedy,fav_oliver,speculation...fav_oliver,fav_stein,speculation...fav_stein,fav_west,speculation...fav_west,vote2020,speculation...vote2020,vote2022,speculation...vote2022,vote2024,speculation...vote2024
Alabama,trends DeBoer,2024-10-12 21:08:08,no,6e91d23fabbda8d541f541cffa3dc87e64def60600bc3d760f9bdd194ffde306,2024-10-13,Alabama 6th,Alabama,South,0.7,40,0.7,60,0.85,40,0.85,30,0.5,30,D,60,D,40,D,50,D,60,L,100,0.7,50,0.85,30,0.85,40,0.85,30,0.5,30,stay home,70,stay home,60,D,50,D,60,L,100,0.85,30,0.85,30,D,50,D,50,0.85,60,D,60,3.unlikely,50,civil rights and racism,50,4.somewhat agreeable,40,4.somewhat conscientious,40,4.somewhat extraverted,40,3.neither high nor low in neuroticism,50,4.somewhat open to experience,40,3.rather happy,40,White,90,3.35-44,30,F,10,Has a College Degree,40,"3.[50000, 75000)",70,married,10,3.moderately interested,40,3.about half of the time trust other people,50,3.paying some attention,40,3.ind - lean D,50,2.somewhat ideologically liberal,40,3.Somewhat Approves,60,3.Somewhat favourable,60,No opinion,80,3.Somewhat favourable,60,1.Very unfavourable,50,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,D,62,D,68,D,53.3333333333333
Alabama,trends Vanderbilt,2024-10-06 07:24:05,no,09d37758ef3fe6303546bee51f8b9ca22b045ccea8817655ebb59d95b624a5a7,2024-10-05,Alabama 1st,Alabama,South,0.7,60,0.3,60,0.7,50,0.5,80,0.3,80,stay home,80,stay home,70,stay home,90,stay home,85,stay home,100,0.3,40,0.5,60,0.7,60,0.5,80,0.3,80,stay home,50,stay home,80,stay home,90,stay home,85,stay home,100,0.3,60,0.5,60,stay home,80,stay home,85,0.5,85,stay home,85,4.50-50,75,jobs and the economy,80,4.somewhat agreeable,65,3.neither conscientious nor unconscientious,70,4.somewhat extraverted,60,3.neither high nor low in neuroticism,65,4.somewhat open to experience,65,3.rather happy,60,Black,90,2.25-34,40,M,60,Has a College Degree,10,"2.[25000, 50000)",90,single,70,2.slightly interested,70,3.about half of the time trust other people,70,2.paying only a little attention,75,4.ind,85,3.moderate in ideological orientation,75,2.Somewhat Disapproves,85,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,85,stay home,81,stay home,83.3333333333333
Alabama,trends Vandy,2024-10-06 07:27:27,no,0e3d2c708a4e5e28431a8b6e1992ca1e5890ee37b66ba9d5604057f66c0fa96f,2024-10-06,Alabama 5th,Alabama,South,0.85,55,0.85,40,0.85,40,0.7,60,0.5,60,R,70,R,60,stay home,70,R,80,stay home,90,0.7,40,0.85,40,0.85,30,0.7,60,0.5,60,R,50,R,50,R,50,R,80,stay home,90,0.85,40,0.85,30,R,50,R,70,0.7,70,R,70,4.50-50,80,jobs and the economy,70,4.somewhat agreeable,60,4.somewhat conscientious,50,4.somewhat extraverted,50,3.neither high nor low in neuroticism,60,3.neither open nor closed to experience,60,3.rather happy,50,White,90,3.35-44,40,M,30,Has a College Degree,10,"3.[50000, 75000)",60,single,90,3.moderately interested,50,3.about half of the time trust other people,80,3.paying some attention,70,4.ind,70,4.somewhat ideologically conservative,70,2.Somewhat Disapproves,70,2.Somewhat unfavourable,70,No opinion,90,2.Somewhat unfavourable,70,3.Somewhat favourable,70,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,74,R,64,R,63.3333333333333
Alabama,candidates,2024-10-06 07:23:58,no,a4e87e6390b417d2597e2514c748a2515f39db9bdb38540b9b97c56a82cf997a,2024-10-06,Alabama 5th,Alabama,South,0.85,30,0.7,30,1,15,0.5,50,0.85,50,R,10,stay home,25,OTHER,30,stay home,40,R,20,0.85,30,0.85,20,0.85,20,1,10,0.85,10,R,25,R,20,R,10,R,20,R,30,1,10,1,10,R,15,R,5,1,10,R,10,2.highly unlikely,30,national security,40,2.somewhat disagreeable,50,4.somewhat conscientious,40,4.somewhat extraverted,40,2.somewhat low in neuroticism,40,2.somewhat closed to experience,40,3.rather happy,30,Hispanic,50,4.45-54,30,F,0,Has a College Degree,60,"4.[75000, 100000)",70,married,0,4.highly interested,0,3.about half of the time trust other people,60,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,10,1.Very unfavourable,10,No opinion,70,1.Very unfavourable,10,4.Very favourable,10,3.Somewhat favourable,60,2.Somewhat unfavourable,50,No opinion,70,1.Very unfavourable,50,1.Very unfavourable,60,R,25,R,21,R,10
Alabama,candidates,2024-10-07 12:29:31,no,23f5ac7ec67cce40307ea20b785f48e3ab8004c90c78deb7c9725d184ee69af5,2024-10-07,Alabama 2nd,Alabama,South,1,10,1,10,1,10,1,20,1,20,R,10,R,10,R,5,R,20,R,10,0.85,20,0.85,20,1,20,1,30,1,30,R,20,R,20,R,10,R,30,R,20,1,10,1,10,R,0,R,10,1,10,R,10,1.no chance,10,national security,40,4.somewhat agreeable,30,5.very conscientious,40,4.somewhat extraverted,40,3.neither high nor low in neuroticism,80,3.neither open nor closed to experience,80,3.rather happy,30,White,70,6.65+,0,M,0,Has a College Degree,30,"2.[25000, 50000)",90,married,10,4.highly interested,10,3.about half of the time trust other people,80,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,10,1.Very unfavourable,10,No opinion,90,1.Very unfavourable,10,4.Very favourable,10,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,11,R,20,R,6.66666666666667
Alabama,candidates,2024-10-10 20:14:06,no,5b5d95cc79c6b3a93f10cf6ac0d9a56966ea166bb1f260909409410f0832b9b6,2024-10-10,Alabama 7th,Alabama,South,0.85,20,0.85,30,1,10,1,20,1,20,D,30,D,20,D,20,D,30,D,20,0.85,30,0.85,20,1,10,1,20,1,20,D,40,D,40,D,20,D,30,D,20,1,15,1,10,D,25,D,20,1,30,D,30,2.highly unlikely,30,jobs and the economy,80,5.very agreeable,20,5.very conscientious,20,4.somewhat extraverted,40,2.somewhat low in neuroticism,50,5.very open to experience,30,3.rather happy,50,White,70,5.55-64,20,F,10,Has a College Degree,10,"5.[100000, max]",30,married,10,4.highly interested,10,4.most of the time trust other people,40,4.paying a lot of attention,20,1.strong D,20,2.somewhat ideologically liberal,30,4.Strongly Approves,30,4.Very favourable,30,No opinion,70,4.Very favourable,30,1.Very unfavourable,20,1.Very unfavourable,30,No opinion,70,No opinion,70,No opinion,70,No opinion,70,D,24,D,30,D,25
Arizona,trends 60 Minutes,2024-10-08 06:12:34,no,f4b2619bfff387be0538b63415ca5f457a700f846ae1e5fb37ea82b00f27602f,2024-10-07,Arizona 3rd,Arizona,West,0.85,25,0.85,20,0.85,30,0.85,30,0.85,30,D,50,stay home,60,stay home,90,stay home,70,D,60,0.85,30,0.85,40,0.85,20,0.85,30,0.85,30,D,50,stay home,70,stay home,70,stay home,70,D,60,1,20,0.85,30,R,60,stay home,50,0.85,70,stay home,70,2.highly unlikely,30,inflation and the cost of living,60,4.somewhat agreeable,40,5.very conscientious,30,4.somewhat extraverted,40,3.neither high nor low in neuroticism,60,5.very open to experience,30,2.not very happy,70,White,10,6.65+,10,M,10,Has a College Degree,30,"4.[75000, 100000)",70,single,80,4.highly interested,20,2.some of the time trust other people,50,4.paying a lot of attention,20,4.ind,50,3.moderate in ideological orientation,50,2.Somewhat Disapproves,60,No opinion,70,No opinion,80,No opinion,70,No opinion,70,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,stay home,66,stay home,64,stay home,60
Arizona,trends Connecticut,2024-10-09 05:29:56,no,602a5c3e623c3740032729de0955dd710797180fa13799245d0c10c4c09db4ee,2024-10-09,Arizona 1st,Arizona,West,0.7,60,0.7,60,0.85,40,0.85,40,0.3,40,R,70,stay home,100,stay home,100,R,70,stay home,90,0.7,50,0.7,50,0.85,50,0.85,40,0.3,40,stay home,70,stay home,90,stay home,80,R,70,stay home,90,0.7,40,0.85,40,stay home,90,stay home,90,0.7,70,R,70,2.highly unlikely,50,jobs and the economy,30,4.somewhat agreeable,40,5.very conscientious,30,5.very extraverted,30,3.neither high nor low in neuroticism,40,5.very open to experience,30,3.rather happy,30,White,30,5.55-64,30,M,10,Has a College Degree,30,"5.[100000, max]",25,married,70,3.moderately interested,40,4.most of the time trust other people,40,4.paying a lot of attention,30,7.strong R,70,4.somewhat ideologically conservative,70,1.Strongly Disapproves,70,1.Very unfavourable,70,No opinion,80,1.Very unfavourable,70,4.Very favourable,70,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,stay home,86,stay home,80,stay home,83.3333333333333
Arizona,trends Final Score,2024-10-12 07:47:26,no,24137f952d75b902f1c9ff9b1c1ef259d5c5bb12168449e53e9552276c31808a,2024-10-11,Arizona 3rd,Arizona,West,0.7,60,0.85,35,0.85,30,0.7,50,0.7,50,stay home,85,D,70,D,70,stay home,80,stay home,80,0.85,40,0.85,40,0.85,30,0.7,50,0.7,50,stay home,60,stay home,80,stay home,100,stay home,80,stay home,80,0.85,30,0.85,40,stay home,85,stay home,100,0.5,80,stay home,80,4.50-50,70,inflation and the cost of living,80,4.somewhat agreeable,40,5.very conscientious,30,4.somewhat extraverted,40,3.neither high nor low in neuroticism,50,4.somewhat open to experience,40,3.rather happy,40,Hispanic,30,3.35-44,30,F,0,Has a College Degree,30,"4.[75000, 100000)",50,single,80,1.not interested at all,50,3.about half of the time trust other people,70,1.not paying attention at all,40,4.ind,70,3.moderate in ideological orientation,70,,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,stay home,77,stay home,80,stay home,88.3333333333333
Arizona,trends Gallego,2024-10-10 09:05:23,no,bd6d7d8c811bc5f3ad1265d4a826bfc0d2c5a01110490b71947d80e5cfd35dd8,2024-10-09,Arizona 3rd,Arizona,West,0.85,20,1,10,1,20,1,20,1,20,R,20,R,10,R,15,R,20,R,10,0.85,20,1,10,1,10,1,20,1,20,R,30,R,20,R,20,R,30,R,10,1,0,1,0,R,10,R,0,1,20,R,20,2.highly unlikely,30,immigration,20,2.somewhat disagreeable,50,5.very conscientious,40,5.very extraverted,40,3.neither high nor low in neuroticism,85,2.somewhat closed to experience,70,3.rather happy,85,White,90,4.45-54,50,F,20,Has a College Degree,85,"4.[75000, 100000)",90,married,0,4.highly interested,0,2.some of the time trust other people,80,4.paying a lot of attention,0,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,20,1.Very unfavourable,20,No opinion,90,1.Very unfavourable,20,4.Very favourable,10,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,15,R,22,R,10
