state_simple,pool,pool.date,test,gpt_id,date,geo3,state_electoral.college,region,turnout2020.bgres,speculation...turnout2020.bgres,turnout2020.bgnores,speculation...turnout2020.bgnores,turnout2020.ind,speculation...turnout2020.ind,turnout2020.demo,speculation...turnout2020.demo,turnout2020.quota,speculation...turnout2020.quota,vote2020.bgres,speculation...vote2020.bgres,vote2020.bgnores,speculation...vote2020.bgnores,vote2020.ind,speculation...vote2020.ind,vote2020.demo,speculation...vote2020.demo,vote2020.quota,speculation...vote2020.quota,turnout2022.bgres,speculation...turnout2022.bgres,turnout2022.bgnores,speculation...turnout2022.bgnores,turnout2022.ind,speculation...turnout2022.ind,turnout2022.demo,speculation...turnout2022.demo,turnout2022.quota,speculation...turnout2022.quota,vote2022.bgres,speculation...vote2022.bgres,vote2022.bgnores,speculation...vote2022.bgnores,vote2022.ind,speculation...vote2022.ind,vote2022.demo,speculation...vote2022.demo,vote2022.quota,speculation...vote2022.quota,turnout2024.bgnores,speculation...turnout2024.bgnores,turnout2024.ind,speculation...turnout2024.ind,vote2024.bgnores,speculation...vote2024.bgnores,vote2024.ind,speculation...vote2024.ind,turnout2024.demo,speculation...turnout2024.demo,vote2024.demo,speculation...vote2024.demo,change_mind.2024.demo,speculation...change_mind.2024.demo,moi,speculation...moi,psych.agreeable,speculation...psych.agreeable,psych.conscientious,speculation...psych.conscientious,psych.extraverted,speculation...psych.extraverted,psych.neurotic,speculation...psych.neurotic,psych.open,speculation...psych.open,psych.happy,speculation...psych.happy,ethnicity,speculation...ethnicity,age_bins,speculation...age_bins,gender,speculation...gender,college_grad,speculation...college_grad,hh_income,speculation...hh_income,marital_status,speculation...marital_status,pol_interest,speculation...pol_interest,trust,speculation...trust,attention,speculation...attention,partisanship,speculation...partisanship,ideology,speculation...ideology,job_approval.Biden,speculation...job_approval.Biden,fav_harris,speculation...fav_harris,fav_walz,speculation...fav_walz,fav_biden,speculation...fav_biden,fav_trump,speculation...fav_trump,fav_jdvance,speculation...fav_jdvance,fav_kennedy,speculation...fav_kennedy,fav_oliver,speculation...fav_oliver,fav_stein,speculation...fav_stein,fav_west,speculation...fav_west,vote2020,speculation...vote2020,vote2022,speculation...vote2022,vote2024,speculation...vote2024
Alabama,trends Aces,2024-09-23 13:11:15,no,143cbf1c69b145cf1812b12f8509603783d97ab1b3164c036921b20a7da6ed11,2024-09-25,Alabama 6th,Alabama,South,0.3,50,0,30,0.7,60,0.5,70,0.15,70,stay home,80,stay home,30,OTHER,80,stay home,85,stay home,90,0.3,40,0.15,30,0.5,100,0.5,70,0.15,70,stay home,60,stay home,40,stay home,100,stay home,80,stay home,90,0.3,60,0.15,40,stay home,80,W,60,0.7,70,K,70,6.highly likely,50,crime,60,1.very disagreeable,40,1.very unconscientious,40,4.somewhat extraverted,50,5.very high in neuroticism,40,4.somewhat open to experience,50,1.not happy at all,40,Mixed-race,90,2.25-34,50,M,20,Does not have a College Degree,50,"1.[min, 25000)",60,single,70,3.moderately interested,40,1.never trust other people,40,3.paying some attention,40,4.ind,60,2.somewhat ideologically liberal,60,1.Strongly Disapproves,70,No opinion,90,No opinion,90,No opinion,90,1.Very unfavourable,60,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,73,stay home,74,W,70
Alabama,trends Clay Higgins,2024-09-26 06:15:44,no,71611725116b69c4d44dbff922b2979c0b4b713bd5657d1e2b80e6d6cc307340,2024-09-26,Alabama 5th,Alabama,South,0.85,20,0.85,20,0.85,20,1,20,0.85,20,D,30,D,10,D,20,D,20,D,31,0.85,30,0.85,30,0.85,20,1,20,0.85,20,D,20,D,40,D,25,D,30,D,41,0.85,20,1,20,D,30,D,40,1,30,D,30,2.highly unlikely,30,criminal justice reform and over-incarceration,50,2.somewhat disagreeable,40,5.very conscientious,30,4.somewhat extraverted,40,4.somewhat high in neuroticism,40,4.somewhat open to experience,40,2.not very happy,40,White,90,6.65+,10,M,70,Has a College Degree,20,"5.[100000, max]",50,single,90,4.highly interested,10,1.never trust other people,30,4.paying a lot of attention,10,1.strong D,20,1.very ideologically liberal,20,3.Somewhat Approves,30,3.Somewhat favourable,30,3.Somewhat favourable,50,3.Somewhat favourable,30,1.Very unfavourable,10,1.Very unfavourable,10,2.Somewhat unfavourable,50,No opinion,70,2.Somewhat unfavourable,40,3.Somewhat favourable,40,D,22.2,D,31.2,D,33.3333333333333
Alabama,trends diddyparty,2024-09-23 13:10:50,no,17f5d49e0f52249579e4bd7035833641fa9f2483f85ef9a6410cf0166cc92418,2024-09-24,Alabama 3rd,Alabama,South,0.85,20,1,20,1,10,1,20,1,20,R,10,R,10,R,15,R,10,R,15,0.85,30,0.85,30,1,20,1,20,1,20,R,20,R,20,R,10,R,20,R,25,1,10,1,15,R,5,R,10,1,10,R,10,2.highly unlikely,30,national security,50,2.somewhat disagreeable,50,4.somewhat conscientious,50,5.very extraverted,30,4.somewhat high in neuroticism,50,2.somewhat closed to experience,50,3.rather happy,75,White,90,5.55-64,40,M,10,Does not have a College Degree,75,"2.[25000, 50000)",85,married,60,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,10,1.Very unfavourable,10,No opinion,90,1.Very unfavourable,10,4.Very favourable,10,3.Somewhat favourable,50,No opinion,85,No opinion,85,1.Very unfavourable,40,No opinion,85,R,12,R,19,R,8.33333333333333
Alabama,candidates,2024-09-23 13:06:40,no,9e14a0bbe837b49b191e61ffac621284850ee6682e2ea81b558890e9bd08c776,2024-09-23,Alabama 5th,Alabama,South,0.85,25,0.85,20,0.85,20,1,10,0.85,10,D,35,D,30,D,30,D,20,D,40,0.85,30,0.85,30,0.85,30,1,10,0.85,10,D,40,D,20,D,20,D,30,D,50,0.85,20,1,10,D,30,W,50,1,30,D,30,2.highly unlikely,30,taxes and government spending,50,3.neither agreeable nor disagreeable,50,4.somewhat conscientious,50,3.neither extraverted nor introverted,50,3.neither high nor low in neuroticism,50,4.somewhat open to experience,50,3.rather happy,50,White,90,6.65+,10,M,10,Has a College Degree,10,"4.[75000, 100000)",50,married,70,4.highly interested,10,3.about half of the time trust other people,50,4.paying a lot of attention,10,1.strong D,20,2.somewhat ideologically liberal,20,3.Somewhat Approves,40,3.Somewhat favourable,40,No opinion,90,3.Somewhat favourable,40,1.Very unfavourable,10,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,D,31,D,32,D,36.6666666666667
Alabama,candidates,2024-09-25 07:11:03,no,20a2e42e7e070c643933ffe6bf5f1bc024035462099282e26b11213e8006b4a9,2024-09-25,Alabama 4th,Alabama,South,0.85,20,0.85,30,0.85,20,1,10,1,10,R,10,R,20,R,15,R,20,R,25,0.85,30,0.85,30,0.85,20,1,20,1,20,R,20,R,20,R,10,R,30,R,35,1,10,1,10,R,20,R,15,0.85,20,R,20,1.no chance,20,jobs and the economy,70,2.somewhat disagreeable,30,4.somewhat conscientious,60,4.somewhat extraverted,50,4.somewhat high in neuroticism,50,2.somewhat closed to experience,50,2.not very happy,50,White,70,4.45-54,50,M,10,Has a College Degree,60,"3.[50000, 75000)",60,married,80,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,20,7.strong R,20,5.very ideologically conservative,10,1.Strongly Disapproves,20,1.Very unfavourable,20,1.Very unfavourable,70,1.Very unfavourable,20,4.Very favourable,20,No opinion,80,No opinion,80,No opinion,80,No opinion,80,1.Very unfavourable,70,R,18,R,23,R,18.3333333333333
Alaska,candidates,2024-09-26 06:15:26,no,184bba3280b37fe414ff5f1b37a664406ca5e7296c8a7a9d4acd21c1145bdc35,2024-09-26,Alaska at Large,Alaska,West,0.85,30,0.85,30,0.85,20,0.85,30,0.85,30,R,20,R,40,R,30,R,20,R,50,0.7,40,0.85,30,0.7,40,0.85,30,0.85,30,R,50,R,50,R,30,R,30,R,60,0.85,20,0.85,30,R,10,R,40,0.85,30,R,30,2.highly unlikely,30,national security,30,2.somewhat disagreeable,40,3.neither conscientious nor unconscientious,80,4.somewhat extraverted,50,5.very high in neuroticism,40,2.somewhat closed to experience,40,1.not happy at all,40,White,90,2.25-34,50,F,10,Does not have a College Degree,80,"2.[25000, 50000)",90,single,90,4.highly interested,20,2.some of the time trust other people,40,4.paying a lot of attention,20,7.strong R,20,5.very ideologically conservative,20,1.Strongly Disapproves,20,1.Very unfavourable,20,No opinion,90,1.Very unfavourable,20,4.Very favourable,20,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,32,R,44,R,26.6666666666667
Arizona,trends AGT,2024-09-25 07:13:41,no,958d9b0bb4e672d3f01f02169890b0a370db4d03ef8e7b7bc84899d80ac8694c,2024-09-25,Arizona 5th,Arizona,West,1,20,0.85,20,0.85,20,1,20,0.7,20,D,30,D,20,D,20,D,20,stay home,90,0.85,20,0.85,20,0.85,30,1,20,0.5,20,D,25,D,30,D,20,D,30,stay home,90,1,10,1,20,D,20,D,30,1,30,D,30,2.highly unlikely,30,civil rights and racism,70,4.somewhat agreeable,60,4.somewhat conscientious,50,4.somewhat extraverted,50,4.somewhat high in neuroticism,50,4.somewhat open to experience,50,3.rather happy,50,White,90,6.65+,10,F,10,Does not have a College Degree,70,"2.[25000, 50000)",80,married,60,4.highly interested,10,2.some of the time trust other people,60,4.paying a lot of attention,20,1.strong D,20,1.very ideologically liberal,20,4.Strongly Approves,30,4.Very favourable,30,No opinion,80,4.Very favourable,30,1.Very unfavourable,10,1.Very unfavourable,10,No opinion,80,No opinion,80,No opinion,80,No opinion,80,D,36,D,39,D,26.6666666666667
Arizona,trends AGT,2024-09-25 07:13:41,no,cc699470e27c322497d7eb7ecc16a1313f6567397ebd60f17173e2a0cea3672a,2024-09-24,Arizona 3rd,Arizona,West,0.7,30,0.7,60,0.85,40,1,20,0.7,20,R,50,R,70,R,50,R,40,stay home,90,0.3,50,0.85,40,0.85,30,0.85,30,0.7,30,stay home,60,R,50,R,40,R,50,stay home,90,0.7,40,0.85,30,R,50,R,50,1,30,R,30,2.highly unlikely,30,jobs and the economy,50,2.somewhat disagreeable,40,5.very conscientious,50,4.somewhat extraverted,40,4.somewhat high in neuroticism,50,2.somewhat closed to experience,50,2.not very happy,70,White,60,4.45-54,40,M,10,Has a College Degree,40,"5.[100000, max]",40,married,70,4.highly interested,20,2.some of the time trust other people,50,4.paying a lot of attention,30,7.strong R,30,5.very ideologically conservative,30,1.Strongly Disapproves,40,1.Very unfavourable,40,1.Very unfavourable,50,1.Very unfavourable,40,4.Very favourable,40,3.Somewhat favourable,50,1.Very unfavourable,40,No opinion,60,1.Very unfavourable,40,1.Very unfavourable,40,R,60,R,58,R,43.3333333333333
Arizona,trends Braves,2024-09-25 07:12:07,no,d71120fb85539e3619986f4c04a1161453c9573821d883a6440656f6abdb44cf,2024-09-25,Arizona 9th,Arizona,West,0.5,60,0.5,60,0.85,60,0.7,50,0.7,50,stay home,80,stay home,90,R,70,R,65,stay home,80,0.3,60,0.3,60,0.5,60,0.7,50,0.7,50,stay home,30,stay home,80,stay home,80,R,70,stay home,80,0.5,60,0.7,50,stay home,80,stay home,80,0.7,60,R,60,3.unlikely,60,inflation and the cost of living,70,3.neither agreeable nor disagreeable,50,3.neither conscientious nor unconscientious,70,4.somewhat extraverted,40,3.neither high nor low in neuroticism,50,5.very open to experience,30,3.rather happy,50,Hispanic,20,2.25-34,30,M,10,Does not have a College Degree,80,"2.[25000, 50000)",70,single,30,3.moderately interested,40,2.some of the time trust other people,45,3.paying some attention,50,6.weak R,60,4.somewhat ideologically conservative,55,1.Strongly Disapproves,60,1.Very unfavourable,60,No opinion,80,1.Very unfavourable,60,3.Somewhat favourable,60,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,stay home,77,stay home,68,stay home,73.3333333333333
Arizona,trends Dbacks,2024-09-25 07:13:00,no,9060d10fbaeac1540b5c9317c16d182998218b9c9bf25f357f18c00cb98b6ad1,2024-09-25,Arizona 7th,Arizona,West,0.5,60,0.5,60,0.85,40,0.5,100,0.3,100,stay home,75,stay home,80,stay home,90,OTHER,90,stay home,100,0.7,60,0.7,60,0.7,60,0.5,100,0.7,100,stay home,70,D,80,stay home,80,OTHER,90,stay home,100,0.7,60,0.7,50,stay home,80,stay home,100,0.5,100,stay home,100,4.50-50,100,civil rights and racism,100,4.somewhat agreeable,30,3.neither conscientious nor unconscientious,100,4.somewhat extraverted,40,3.neither high nor low in neuroticism,100,4.somewhat open to experience,40,3.rather happy,30,Mixed-race,100,3.35-44,20,F,10,Does not have a College Degree,100,"2.[25000, 50000)",100,married,0,2.slightly interested,100,2.some of the time trust other people,100,3.paying some attention,100,4.ind,100,3.moderate in ideological orientation,100,1.Strongly Disapproves,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,stay home,87,stay home,84,stay home,93.3333333333333
